TE_name	classechr	type	start	end	frame	before_id	before_feature	before_strand	before_start	before_end	after_id	after_feature	after_strand	after_start	after_end	superset_id	superset_feature	superset_strand	superset_start	superset_end	subset_id	subset_feature	subset_strand	subset_start	subset_end	upstream_overlap	upstream_overlap_ID	upstream_overlap_strand	upstream_overlap_feature	upstream_overlap_start	upstream_overlap_end	downstream_overlap	downstream_overlap_ID	downstream_overlap_strand	downstream_overlap_feature	downstream_overlap_start	downstream_overlap_end	Down_TEstart-Geneend	Down_Genestart-TEend	Down_Geneend-TEend	Down_Genestart-TEstart	Up_TEstart-Geneend	Up_Genestart-TEend	Up_Geneend-TEend	Up_Genestart-TEstart
DTX	613;Identity=79.3	chr1	reswagMa4S_REPET_TEs	400	600	.	nan	nan	nan	nan	nan	Name=Pruma.1G000100%20type%3A3prime_partial%20len%3A179%20%28%2B%29%2Cscore%3D35.94	gene	-	900	2000	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	[100]	['Name=Pruma.1G000100%20type%3A3prime_partial%20len%3A179%20%28%2B%29%2Cscore%3D35.94']	['-']	['gene']	[100]	[500]	[]	[]	[]	[]	[]	[]	-1600	300	1400	500	-100	-500	-100	-300
DTX	613;Identity=79.3	chr1	reswagMa4S_REPET_TEs	920	1000	.	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	['Name=Pruma.1G000100%20type%3A3prime_partial%20len%3A179%20%28%2B%29%2Cscore%3D35.94']	['gene']	['-']	[900]	[2000]	nan	nan	nan	nan	nan	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	nan	nan	nan	nan	nan	nan	nan	nan
DTX	613;Identity=79.3	chr1	reswagMa4S_REPET_TEs	1500	2300	.	nan	nan	nan	nan	nan	Name=Pruma.1G000100%20type%3A3prime_partial%20len%3A179%20%28%2B%29%2Cscore%3D35.94	gene	-	2500	4000	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	[500]	['Name=Pruma.1G000100%20type%3A3prime_partial%20len%3A179%20%28%2B%29%2Cscore%3D35.94']	['-']	['gene']	[900]	[2000]	[]	[]	[]	[]	[]	[]	-2500	200	1700	1000	nan	nan	nan	nan
DTX	613;Identity=79.3	chr1	reswagMa4S_REPET_TEs	3600	5300	.	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	[400]	['Name=Pruma.1G000100%20type%3A3prime_partial%20len%3A179%20%28%2B%29%2Cscore%3D35.94']	['-']	['gene']	[2500]	[4000]	[300]	['Name=Pruma.1G000100%20type%3A3prime_partial%20len%3A179%20%28%2B%29%2Cscore%3D35.94']	['+']	['gene']	[5000]	[7000]	nan	nan	nan	nan	nan	nan	nan	nan
DTX	613;Identity=79.3	chr1	reswagMa4S_REPET_TEs	7200	7900	.	Name=Pruma.1G000100%20type%3A3prime_partial%20len%3A179%20%28%2B%29%2Cscore%3D35.94	gene	+	5000	7000	Name=Pruma.1G000100%20type%3A3prime_partial%20len%3A179%20%28%2B%29%2Cscore%3D35.94	gene	+	9000	11000	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	[]	[]	[]	[]	[]	[]	[400]	['Name=Pruma.1G000100%20type%3A3prime_partial%20len%3A179%20%28%2B%29%2Cscore%3D35.94']	['-']	['gene']	[7500]	[8500]	-3800	1100	3100	1800	200	-2900	-900	-2200
DTX	613;Identity=79.3	chr1	reswagMa4S_REPET_TEs	7400	7900	.	Name=Pruma.1G000100%20type%3A3prime_partial%20len%3A179%20%28%2B%29%2Cscore%3D35.94	gene	+	5000	7000	Name=Pruma.1G000100%20type%3A3prime_partial%20len%3A179%20%28%2B%29%2Cscore%3D35.94	gene	+	9000	11000	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	[]	[]	[]	[]	[]	[]	[400]	['Name=Pruma.1G000100%20type%3A3prime_partial%20len%3A179%20%28%2B%29%2Cscore%3D35.94']	['-']	['gene']	[7500]	[8500]	-3600	1100	3100	1600	400	-2900	-900	-2400
DTX	613;Identity=79.3	chr1	reswagMa4S_REPET_TEs	9100	9900	.	Name=Pruma.1G000100%20type%3A3prime_partial%20len%3A179%20%28%2B%29%2Cscore%3D35.94	gene	-	7500	8500	nan	nan	nan	nan	nan	['Name=Pruma.1G000100%20type%3A3prime_partial%20len%3A179%20%28%2B%29%2Cscore%3D35.94']	['gene']	['+']	[9000]	[11000]	nan	nan	nan	nan	nan	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	nan	nan	nan	nan	600	-2400	-1400	-1600
DTX	613;Identity=79.3	chr1	reswagMa4S_REPET_TEs	10500	10900	.	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	['Name=Pruma.1G000100%20type%3A3prime_partial%20len%3A179%20%28%2B%29%2Cscore%3D35.94']	['gene']	['+']	[9000]	[11000]	nan	nan	nan	nan	nan	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	nan	nan	nan	nan	nan	nan	nan	nan
DTX	613;Identity=79.3	chr1	reswagMa4S_REPET_TEs	11500	15000	.	Name=Pruma.1G000100%20type%3A3prime_partial%20len%3A179%20%28%2B%29%2Cscore%3D35.94	gene	+	9000	11000	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	['Name=Pruma.1G000100%20type%3A3prime_partial%20len%3A179%20%28%2B%29%2Cscore%3D35.94']	['gene']	['-']	[11900]	[12000]	[]	[]	[]	[]	[]	[]	[300]	['Name=Pruma.1G000100%20type%3A3prime_partial%20len%3A179%20%28%2B%29%2Cscore%3D35.94']	['-']	['gene']	[14700]	[15300]	nan	nan	nan	nan	500	-6000	-4000	-2500
DTX	613;Identity=79.3	chr1	reswagMa4S_REPET_TEs	16000	16600	.	Name=Pruma.1G000100%20type%3A3prime_partial%20len%3A179%20%28%2B%29%2Cscore%3D35.94	gene	-	14700	15300	Name=Pruma.1G000100%20type%3A3prime_partial%20len%3A179%20%28%2B%29%2Cscore%3D35.94	gene	+	18000	20000	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	[]	[]	[]	[]	[]	[]	[300]	['Name=Pruma.1G000100%20type%3A3prime_partial%20len%3A179%20%28%2B%29%2Cscore%3D35.94']	['-']	['gene']	[16300]	[18500]	-4000	1400	3400	2000	700	-1900	-1300	-1300
